ITEM ;NOME;AMBIENTE;LOCAL ;TAG ;ENDEREÇO ;CNPJ;MODELO;NUMERO DE SERIE
29;SEDE;SEDE PISO SUPERIOR;CONSELHO;SPS-SC-007;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 18000 BTUS QUENTE FRIO ATNW18GPLP0.ANWZBRZ;908AZHYAE937
30;SEDE;SEDE PISO SUPERIOR;PRESIDÊNCIA CONSELHO;SPS-SP-008;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;908AZMG5X411
31;SEDE;SEDE PISO SUPERIOR;RECEPÇÃO;SPS-RE-009;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;909AZBZ6N869
32;SEDE;SEDE PISO SUPERIOR;LOUNGE ESPERA;SPS-LE-010;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 36000 BTUS QUENTE E FRIO 220V ATUW36GMLP0.ANWZBR1;408AZTH0F633
33;SEDE;SEDE PISO SUPERIOR;DIRETORIA OPERACIONAL;SPS-SD-011;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 18000 BTUS QUENTE FRIO ATNW18GPLP0.ANWZBRZ;909AZPU7R320
34;SEDE;SEDE PISO SUPERIOR;ASSESSORIA PRESIDÊNCIA;SPS-SD-012;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 18000 BTUS QUENTE FRIO ATNW18GPLP0.ANWZBRZ;908AZQVAE892
35;SEDE;SEDE PISO SUPERIOR;DIRETOR PRESIDENTE;SPS-SD-013;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 24000 BTUS QUENTE FRIO ATNW24GPLP0.ANWZBRZ;005AZBZ5N877
36;SEDE;SEDE PISO SUPERIOR;AUDITÓRIO;SPS-AU-014;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 48.000 BTUS QUENTE E FRIO 220VATNW48GMLP0.ANWZBR2;912AZRD6Q390
37;SEDE;SEDE PISO SUPERIOR;AUDITÓRIO;SPS-AU-015;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 48.000 BTUS QUENTE E FRIO 220VATNW48GMLP0.ANWZBRZ;912AZBZ7H805
38;SEDE;SEDE PISO SUPERIOR;AUDITÓRIO;SPS-AU-016;RUA HENRIQUE DIAS, 1000, MONTE CASTELO, SÃO JOSÉ DOS CAMPOS - SP CEP 12215-260;54.190.525/0001-66;AR CONDICIONADO SPLIT CASSETE INVERTER LG 48.000 BTUS QUENTE E FRIO 220VATNW48GMLP0.ANWZBRZ;912AZBZ6Q389
